gene,log2FC,pval,padj,-log10p,significance
GENE_0880,1.1055312097856245,0.004202362361972005,0.9839806737784672,2.376506501901566,NS
GENE_0945,-1.046007096629272,0.0027584414780335255,0.9839806737784672,2.55933622542265,NS
GENE_0757,1.2995073541452165,0.0018878058062590593,0.9839806737784672,2.724042682499677,NS
GENE_0462,1.079279292702334,0.00414630502229766,0.9839806737784672,2.382338752259509,NS
GENE_1722,-1.1077904910206895,0.0036519830287439744,0.9839806737784672,2.4374712493578836,NS
GENE_1051,-1.1562380621572652,0.002141003647077449,0.9839806737784672,2.6693825929090824,NS
GENE_1159,0.8876428414510231,0.0043049154477807945,0.9839806737784672,2.3660353740414166,NS
GENE_1318,0.3977543012197877,0.1798598587863086,0.996920115263805,0.7450657519008256,NS
GENE_1331,0.5046328665613391,0.15480001134249555,0.996920115263805,0.8102290118315303,NS
GENE_1330,0.4528347783193629,0.18544053468273036,0.996920115263805,0.7317953291726244,NS
GENE_1329,0.3006566568784059,0.5888146407357437,0.996920115263805,0.23002139990749043,NS
GENE_1328,-0.08940093080959244,0.9201128863587056,0.996920115263805,0.036158886877150374,NS
GENE_1327,-0.25455316474139345,0.6148521268340661,0.996920115263805,0.21122932035783037,NS
GENE_1308,-0.21217116695335392,0.7492920507707974,0.996920115263805,0.12534887480172643,NS
GENE_1309,-0.505978200580234,0.18041124178363022,0.996920115263805,0.7437364041971647,NS
GENE_1326,0.7194281385792065,0.06126989753650223,0.996920115263805,1.2127528459512007,NS
GENE_1316,-0.22322604579222727,0.5062783288381355,0.996920115263805,0.2956106621202571,NS
GENE_1310,0.0969621140952821,0.9282137665401038,0.996920115263805,0.03235199475337559,NS
GENE_1324,-0.413481960135333,0.1848767655672522,0.996920115263805,0.733117665476708,NS
GENE_1323,-0.15445315074186716,0.7351583704395322,0.996920115263805,0.13361909357008991,NS
GENE_1332,-0.16141120543700538,0.6450416377343846,0.996920115263805,0.190412250551344,NS
GENE_1322,0.07907775072464673,0.8066272248218522,0.996920115263805,0.09332712402147302,NS
GENE_1312,0.8002367885145523,0.04728517335714199,0.996920115263805,1.3252750144121466,NS
GENE_1321,0.03253304377868371,0.895863153437864,0.996920115263805,0.04775832543361534,NS
GENE_1320,-0.1314789809112833,0.43325481998873805,0.996920115263805,0.3632565970321234,NS
GENE_1314,-0.180348915741404,0.8643530499424914,0.996920115263805,0.06330883122038886,NS
GENE_1325,0.05615386620127083,0.81585425806409,0.996920115263805,0.08838741547607162,NS
GENE_0001,0.6130273318088086,0.07997105246990086,0.996920115263805,1.0970671883535943,NS
GENE_1334,0.08855722059940518,0.9823696762202877,0.996920115263805,0.007725051794779133,NS
GENE_1306,0.5052142213712827,0.09591086486514229,0.996920115263805,1.0181321927906808,NS
GENE_1358,-0.13486661202921102,0.5835516271443841,0.996920115263805,0.23392071563904476,NS
GENE_1357,-0.3839457738017078,0.17657088208555316,0.996920115263805,0.7530809133983302,NS
GENE_1356,-0.015594046092521907,0.9593289500891373,0.996920115263805,0.018032449437821053,NS
GENE_1354,-0.09798130507619707,0.9309157205804779,0.996920115263805,0.03108963560689699,NS
GENE_1353,0.4370414773046827,0.17279277523355718,0.996920115263805,0.7624744200851006,NS
GENE_1352,0.11799942929820251,0.42432849240180925,0.996920115263805,0.3722978056657886,NS
