gene,log2FC,pval,padj,-log10p,significance
GENE_1990,1.1286779635144644,0.0007005151292930259,0.71321302267415,3.1545824806529787,NS
GENE_1738,-1.0768445445443522,0.0015166719867279624,0.71321302267415,2.8191083346762564,NS
GENE_1165,1.1751677952584165,0.0016736203550431618,0.71321302267415,2.776343050768624,NS
GENE_0271,-1.322679264691149,0.001783032556685375,0.71321302267415,2.748840726897712,NS
GENE_1545,-0.9861864994067142,0.002737311751350544,0.8750860036885908,2.56267573814665,NS
GENE_0084,1.071886313013362,0.0032815725138322155,0.8750860036885908,2.483917994573524,NS
GENE_0997,0.4271596952255656,0.20129207178896535,0.9170895531169114,0.696173330159087,NS
GENE_0944,-0.37289627812413517,0.12487294171756554,0.9170895531169114,0.9035316571889486,NS
GENE_0945,-0.6270796239634144,0.06696081058712758,0.9170895531169114,1.1741792976762981,NS
GENE_0946,-0.7268885011474389,0.04888353631029913,0.9170895531169114,1.3108373840974008,NS
GENE_0955,-0.49790201174056925,0.2018882546637869,0.9170895531169114,0.6948889464505269,NS
GENE_0960,0.7991064612214887,0.024128116647919425,0.9170895531169114,1.6174765761988614,NS
GENE_0970,-0.6441921844298433,0.1248725490422109,0.9170895531169114,0.9035330228731832,NS
GENE_0943,-0.4820378158776908,0.2175327545085276,0.9170895531169114,0.6624753408642831,NS
GENE_0974,0.593625238578416,0.18792795907945936,0.9170895531169114,0.7260086027061158,NS
GENE_0975,0.5736979699409144,0.15665992899893844,0.9170895531169114,0.8050420746233381,NS
GENE_0977,0.4983039824112643,0.15225942547106627,0.9170895531169114,0.8174158132870679,NS
GENE_0981,0.7344900396800078,0.07108880051901675,0.9170895531169114,1.1481988135586096,NS
GENE_0986,-0.868211504329417,0.03199741800627508,0.9170895531169114,1.4948850651447394,NS
GENE_0987,-0.4593406732220551,0.19891961400433722,0.9170895531169114,0.7013223921703025,NS
GENE_0966,0.8120089040108551,0.077954613844136,0.9170895531169114,1.1081581754366572,NS
GENE_0942,0.6736611196317277,0.08596623514081515,0.9170895531169114,1.0656720926100283,NS
GENE_0916,0.5349850493149946,0.20914521968718935,0.9170895531169114,0.6795520573907904,NS
GENE_0924,-0.6954025318656685,0.11956622004907067,0.9170895531169114,0.9223915002677248,NS
GENE_0856,0.4225915699360474,0.2333670033076759,0.9170895531169114,0.6319605505805266,NS
GENE_0857,-0.41376966017180106,0.21471026984094876,0.9170895531169114,0.6681471822587413,NS
GENE_0866,0.47984642828395163,0.23602791406992896,0.9170895531169114,0.6270366317347895,NS
GENE_0867,-0.45038237882116583,0.13737162441317505,0.9170895531169114,0.8621029662098934,NS
GENE_0874,-0.6094486745049021,0.06874195833275507,0.9170895531169114,1.1627780997665176,NS
GENE_0878,0.6655388824073247,0.10688750649174432,0.9170895531169114,0.971073054181144,NS
GENE_0884,0.48795430288979524,0.11956626282711687,0.9170895531169114,0.9223913448871659,NS
GENE_0934,0.7140799074661688,0.08704880465469009,0.9170895531169114,1.0602371881932482,NS
GENE_0886,-0.7175719012531729,0.06327204332195158,0.9170895531169114,1.1987881401082738,NS
GENE_0895,-0.8100922811456535,0.03704041132854556,0.9170895531169114,1.4313241991843335,NS
GENE_0897,0.47896638225421384,0.20549356289798715,0.9170895531169114,0.6872017778836265,NS
GENE_0898,0.37836322774295716,0.19106155918042733,0.9170895531169114,0.7188266824643724,NS
GENE_0899,0.45856640055963105,0.2300710303431983,0.9170895531169114,0.6381380625749753,NS
GENE_0900,-0.5750382640402298,0.15567322434810388,0.9170895531169114,0.8077860792614091,NS
GENE_0911,0.36402859149596,0.2216562321647758,0.9170895531169114,0.6543200534162041,NS
GENE_0993,-0.6571934870003728,0.16497827268198917,0.9170895531169114,0.7825732477597083,NS
GENE_0887,0.42987653053737773,0.2307231175032325,0.9170895531169114,0.6369088887858029,NS
GENE_0995,-0.5467889214857502,0.1451344162693475,0.9170895531169114,0.8382295894676377,NS
GENE_1014,0.8677208916612216,0.029264034108612013,0.9170895531169114,1.5336658056766608,NS
GENE_0853,0.5202730868896639,0.21974610785101534,0.9170895531169114,0.6580788084216369,NS
GENE_1144,-0.553098840866662,0.14513460237606932,0.9170895531169114,0.8382290325696077,NS
GENE_1148,0.608597758693378,0.10219586191856471,0.9170895531169114,0.9905666891554865,NS
GENE_1150,0.44734060746458404,0.13781903971336495,0.9170895531169114,0.8606907804599283,NS
GENE_1156,-0.5125086670041243,0.08783391023818962,0.9170895531169114,1.0563377826575542,NS
GENE_1158,-0.4685362800523416,0.22486529678253042,0.9170895531169114,0.6480775635895752,NS
GENE_1167,-0.957180012848899,0.013430554430896944,0.9170895531169114,1.8719060587155674,NS
GENE_1170,0.4910370927113554,0.1631865028453512,0.9170895531169114,0.7873157645906804,NS
GENE_1174,0.42183123903732955,0.23803480871561677,0.9170895531169114,0.6233595298017401,NS
GENE_1177,-0.6955103040500967,0.08428209187080066,0.9170895531169114,1.0742646937963625,NS
GENE_1179,0.46307421279494054,0.13962086115003375,0.9170895531169114,0.8550496876907896,NS
GENE_1185,0.4414120505997632,0.17630997225414025,0.9170895531169114,0.753723122910756,NS
GENE_1187,0.2938415526845821,0.22038064486002107,0.9170895531169114,0.6568265504718113,NS
GENE_1189,-0.6922778214243452,0.06696081058712758,0.9170895531169114,1.1741792976762981,NS
GENE_1190,-0.4107961875502859,0.19950977651444124,0.9170895531169114,0.7000358178607293,NS
GENE_1202,0.544420343804263,0.20792260354068737,0.9170895531169114,0.6820982953756723,NS
GENE_1203,0.5833541451435433,0.06899944748620912,0.9170895531169114,1.1611543868663863,NS
GENE_1205,-0.7422917896568411,0.06771890277086613,0.9170895531169114,1.1692900872497336,NS
GENE_1143,0.47904510133774636,0.2307271091851658,0.9170895531169114,0.636901375232501,NS
GENE_0996,0.5865648928784895,0.24073568122482913,0.9170895531169114,0.6184595349406176,NS
GENE_1137,-0.4778691395819239,0.14653857170030132,0.9170895531169114,0.8340480458098469,NS
GENE_1116,-0.9956744644375455,0.009081424096834632,0.9170895531169114,2.0418460425690688,NS
GENE_1016,-0.5590560431736948,0.14052826818171965,0.9170895531169114,0.8522363057910677,NS
GENE_1017,0.5187151391894398,0.15914501002073145,0.9170895531169114,0.7982069740988106,NS
GENE_1019,-0.5356990254488219,0.13426976780503141,0.9170895531169114,0.872021762115196,NS
GENE_1027,-0.9734787764652255,0.008903808082190198,0.9170895531169114,2.0504242096059677,NS
GENE_1035,-0.8078318682580035,0.027200563113561598,0.9170895531169114,1.5654221049885577,NS
GENE_1047,-0.48171000766061667,0.18991911005092688,0.9170895531169114,0.7214313334614996,NS
GENE_1048,0.6583131081650135,0.08689596718634107,0.9170895531169114,1.061000378549718,NS
GENE_1054,0.5422119716890563,0.11443702530717483,0.9170895531169114,0.9414334398345311,NS
GENE_1064,-0.5359686402374848,0.16216680068080647,0.9170895531169114,0.790038051215534,NS
GENE_1072,-0.9142831975719128,0.0050065761526790235,0.9170895531169114,2.300459173598924,NS
GENE_1074,-0.5505245578251055,0.1061549886542656,0.9170895531169114,0.9740595917559993,NS
GENE_1097,-0.5288762535195213,0.15250142648488302,0.9170895531169114,0.8167260939459444,NS
GENE_1099,0.7086470935649274,0.06448263578291953,0.9170895531169114,1.1905572186815372,NS
GENE_1103,0.5384655892842778,0.10184171737255393,0.9170895531169114,0.992074285717963,NS
GENE_1107,-0.4294200537629864,0.1375948276989101,0.9170895531169114,0.8613978912752293,NS
GENE_1108,0.6077062390303096,0.11366405980985071,0.9170895531169114,0.9443768360483925,NS
GENE_1109,-0.45176566464783363,0.2036849983569099,0.9170895531169114,0.6910409561286096,NS
GENE_1128,0.6216273312602159,0.06327204332195158,0.9170895531169114,1.1987881401082738,NS
GENE_0844,-0.6452699016499839,0.06172665825401427,0.9170895531169114,1.209527234147842,NS
GENE_0835,0.4357379854325183,0.11251195743146294,0.9170895531169114,0.9488013195922484,NS
GENE_1206,-0.6678209577643939,0.14606936974648557,0.9170895531169114,0.8354408446046016,NS
GENE_0498,-0.7708858553013345,0.03199779530126636,0.9170895531169114,1.4948799442263365,NS
GENE_0503,-0.4330487893565458,0.24073600769318926,0.9170895531169114,0.6184589459821779,NS
GENE_0504,-0.6910442682982554,0.08084762147500504,0.9170895531169114,1.0923327524486783,NS
GENE_0510,0.577524318088039,0.15081312892478016,0.9170895531169114,0.82156084963737,NS
GENE_0524,-0.6755928438928418,0.07852632988732694,0.9170895531169114,1.1049846998471662,NS
GENE_0525,-0.4466474578628006,0.20010278113764124,0.9170895531169114,0.6987468752601533,NS
GENE_0527,-0.682823632701326,0.06620934525626401,0.9170895531169114,1.1790807068324354,NS
GENE_0496,0.5693284882481926,0.1409839452969836,0.9170895531169114,0.8508303402943531,NS
GENE_0528,-0.6367524618381948,0.16267750935678083,0.9170895531169114,0.788672485400022,NS
GENE_0531,0.5124979505177585,0.21222377993147823,0.9170895531169114,0.6732059544855953,NS
GENE_0532,0.361737748811108,0.20640157866210762,0.9170895531169114,0.6852869853315501,NS
GENE_0533,0.843114940333364,0.050354361811791204,0.9170895531169114,1.2979629038840503,NS
GENE_0541,0.32560996198595227,0.23602813086532748,0.9170895531169114,0.6270362328285737,NS
GENE_0546,-0.7926728144948996,0.08026240023879753,0.9170895531169114,1.0954878568763107,NS
GENE_0548,-0.5727961873138359,0.10416018234915492,0.9170895531169114,0.9822982684728645,NS
GENE_0557,-0.3424592881083539,0.22165591144341212,0.9170895531169114,0.6543206818109841,NS
GENE_0530,0.5640766498630168,0.09630918330471001,0.9170895531169114,1.0163322999117035,NS
GENE_0494,0.4756646457526683,0.10290673169169703,0.9170895531169114,0.9875562147328678,NS
GENE_0493,0.5666880530166969,0.08689574820944483,0.9170895531169114,1.061001472968488,NS
GENE_0478,-0.6164319991801177,0.11482606456356165,0.9170895531169114,0.9399595195051856,NS
GENE_0409,0.3665968025392967,0.2178480385887217,0.9170895531169114,0.6618463459138121,NS
GENE_0414,-0.5837827799115978,0.18849582213498917,0.9170895531169114,0.7246982711548878,NS
