gene,importance,n_cancers_sig,mean_log2FC,min_padj,evidence_score
GENE_0945,0.0022622169711510724,0.0,0.0,0.0,0.5
GENE_0368,0.0021008646589131155,0.0,0.0,0.0,0.46433756923062586
GENE_1331,0.0018563549267019512,0.0,0.0,0.0,0.4102955088692027
GENE_0490,0.0018510868871315796,0.0,0.0,0.0,0.40913115557383967
GENE_0605,0.001777743767023194,0.0,0.0,0.0,0.3929207033838654
GENE_0214,0.0017309865677139036,0.0,0.0,0.0,0.38258632787842944
GENE_1746,0.0017181724008378974,0.0,0.0,0.0,0.3797541134977094
GENE_0276,0.001686156472068663,0.0,0.0,0.0,0.3726778849180644
GENE_0914,0.0016173447251514512,0.0,0.0,0.0,0.357468966455615
GENE_0588,0.0016061912181716508,0.0,0.0,0.0,0.35500379465246
GENE_0354,0.0015805468432177597,0.0,0.0,0.0,0.3493358204305085
GENE_0757,0.0015605894231446702,0.0,0.0,0.0,0.34492478905562346
GENE_0871,0.0015490642681733101,0.0,0.0,0.0,0.34237747482397934
GENE_1585,0.0015416987103307076,0.0,0.0,0.0,0.3407495235848781
GENE_1897,0.0015351776401710268,0.0,0.0,0.0,0.33930822280718065
GENE_1844,0.0015345339624043281,0.0,0.0,0.0,0.3391659557799885
GENE_1301,0.0014945579024627936,0.0,0.0,0.0,0.33033036210101574
GENE_1961,0.0014906189943729735,0.0,0.0,0.0,0.32945977626861084
GENE_0429,0.0014852570498887195,0.0,0.0,0.0,0.3282746679097239
GENE_1970,0.0014807353929165222,0.0,0.0,0.0,0.32727528168155484
GENE_1402,0.0014748846725976116,0.0,0.0,0.0,0.3259821430495134
GENE_0753,0.0014595077708866456,0.0,0.0,0.0,0.32258350757222276
GENE_0032,0.0014514009602789458,0.0,0.0,0.0,0.32079172307253023
GENE_0385,0.0014487723032270633,0.0,0.0,0.0,0.3202107317075541
GENE_0558,0.001446886163587438,0.0,0.0,0.0,0.31979385311817066
GENE_1822,0.0014317732847018523,0.0,0.0,0.0,0.31645357252654027
GENE_1116,0.0014248100218389745,0.0,0.0,0.0,0.31491453737834785
GENE_1231,0.00142190493126776,0.0,0.0,0.0,0.3142724480897735
GENE_1265,0.0014092348498236788,0.0,0.0,0.0,0.3114720797772605
GENE_0437,0.0014010535056269897,0.0,0.0,0.0,0.3096638217054173
GENE_0816,0.001395727003934433,0.0,0.0,0.0,0.30848654698763317
GENE_0699,0.00139244313690758,0.0,0.0,0.0,0.3077607397222978
GENE_1073,0.0013761293434292694,0.0,0.0,0.0,0.30415503043659436
GENE_1949,0.0013718524326264876,0.0,0.0,0.0,0.30320973852663985
GENE_1869,0.0013657773014077372,0.0,0.0,0.0,0.3018670001208584
GENE_0635,0.0013645431000440104,0.0,0.0,0.0,0.3015942143139561
GENE_0320,0.0013637752011639197,0.0,0.0,0.0,0.3014244916724316
GENE_1208,0.0013559726130034945,0.0,0.0,0.0,0.29969994706421593
GENE_1908,0.0013556432207552668,0.0,0.0,0.0,0.2996271440898708
GENE_1751,0.0013535155971493558,0.0,0.0,0.0,0.2991568922013376
GENE_1709,0.0013292175645385896,0.0,0.0,0.0,0.2937864894237467
GENE_0219,0.0013280763237090117,0.0,0.0,0.0,0.2935342499515538
GENE_0874,0.001323105343361379,0.0,0.0,0.0,0.29243555331656584
GENE_1682,0.0013227270933758581,0.0,0.0,0.0,0.2923519517013484
GENE_0296,0.001316692714563018,0.0,0.0,0.0,0.29101822047888093
GENE_0498,0.0013039772620035111,0.0,0.0,0.0,0.28820782414606655
GENE_0236,0.001294099340037747,0.0,0.0,0.0,0.28602458485210575
GENE_0878,0.0012935551412357707,0.0,0.0,0.0,0.28590430487699364
GENE_0500,0.0012929790068229535,0.0,0.0,0.0,0.28577696642534106
GENE_1545,0.0012928569046185693,0.0,0.0,0.0,0.28574997913677824
GENE_0581,0.0012911780964332963,0.0,0.0,0.0,0.28537892538581583
GENE_1626,0.0012902046550981035,0.0,0.0,0.0,0.2851637733142845
GENE_1957,0.0012849217589749288,0.0,0.0,0.0,0.2839961363920651
GENE_0670,0.0012781359013479274,0.0,0.0,0.0,0.28249631172592166
GENE_0731,0.001270568728850175,0.0,0.0,0.0,0.2808237991875019
GENE_0151,0.001269912386118569,0.0,0.0,0.0,0.280678732922865
GENE_1734,0.0012668926323205405,0.0,0.0,0.0,0.2800113005243511
GENE_1673,0.001262524576388359,0.0,0.0,0.0,0.2790458635243009
GENE_1227,0.0012534736726342284,0.0,0.0,0.0,0.27704541355209394
GENE_0722,0.0012512294628685807,0.0,0.0,0.0,0.2765493935429023
GENE_1894,0.0012510347924040328,0.0,0.0,0.0,0.27650636706334036
GENE_0809,0.0012484629579515528,0.0,0.0,0.0,0.2759379347499775
GENE_0407,0.0012478256227374674,0.0,0.0,0.0,0.27579706956723576
GENE_1381,0.0012456287082166437,0.0,0.0,0.0,0.275311502853512
GENE_0957,0.001232788188586007,0.0,0.0,0.0,0.27247346393098926
GENE_0462,0.001227050110586491,0.0,0.0,0.0,0.27120522174363704
GENE_1337,0.0012262941975182847,0.0,0.0,0.0,0.2710381482317135
GENE_1834,0.001215603406782278,0.0,0.0,0.0,0.26867524695558903
GENE_1207,0.0012106075292828513,0.0,0.0,0.0,0.26757104749922905
