gene,log2FC,pval,padj,-log10p,significance
GENE_1998,-0.6041575357263689,0.10741875943765318,0.962775406735248,0.9689198675301779,NS
GENE_1108,0.15876948888752818,0.5436189016837869,0.962775406735248,0.26470545121427913,NS
GENE_1107,0.0917946146487365,0.6006136325082942,0.962775406735248,0.22140481456804798,NS
GENE_1105,0.34004544003058434,0.3091077221773404,0.962775406735248,0.5098901451886668,NS
GENE_1104,0.23624731396459975,0.5550293663786258,0.962775406735248,0.25568403792455024,NS
GENE_1099,0.3743410745819915,0.31401620489816684,0.962775406735248,0.5030479394546217,NS
GENE_1098,-0.31247033151120185,0.5396535624335765,0.962775406735248,0.2678849516708302,NS
GENE_1109,0.6737101569972967,0.026781617985795977,0.962775406735248,1.5721631890463166,NS
GENE_1097,0.11383886907185925,0.6137706349374041,0.962775406735248,0.21199389366522373,NS
GENE_1095,0.45629961822490106,0.18858292811770994,0.962775406735248,0.7244976252776861,NS
GENE_1089,0.6248675054292887,0.10760590783271873,0.962775406735248,0.9681638841648367,NS
GENE_1087,-0.5576147115461918,0.1634744252464876,0.962775406735248,0.7865501808819604,NS
GENE_1086,0.24216790339469796,0.5928999272557869,0.962775406735248,0.2270186029395906,NS
GENE_1085,0.5129778945145542,0.11569077772951543,0.962775406735248,0.9367012593785355,NS
GENE_1084,-0.20611909467189982,0.5436189016837869,0.962775406735248,0.26470545121427913,NS
GENE_1096,0.25207594710603054,0.5084576254989268,0.962775406735248,0.29374523502995875,NS
GENE_1863,0.3724131929223429,0.26209317206421257,0.962775406735248,0.5815442929544324,NS
GENE_1111,-0.2585691164230264,0.46141529446836027,0.962775406735248,0.3359080140777655,NS
GENE_1112,-0.5184539878578462,0.11139834631474932,0.962775406735248,0.9531212561255736,NS
GENE_1143,-0.4326096021071475,0.1851549920592841,0.962775406735248,0.7324645742190563,NS
GENE_1140,0.28566949981100453,0.2822562162808503,0.962775406735248,0.549356484596112,NS
GENE_1138,-0.31989600798199547,0.29468893411120045,0.962775406735248,0.5306361720722819,NS
GENE_1137,0.503886770730765,0.13021857567507994,0.962775406735248,0.8853270592566401,NS
GENE_1136,-0.1940224395049901,0.5407852036011741,0.962775406735248,0.2669751996150003,NS
GENE_1135,0.19171853798027438,0.47030957734953405,0.962775406735248,0.32761617722308306,NS
GENE_1133,0.5081974395811004,0.22350368056264003,0.962775406735248,0.650715320698114,NS
GENE_1132,0.5412069647388691,0.07589743111525267,0.962775406735248,1.1197729233318032,NS
GENE_1127,-0.32226070985742705,0.4110429126096433,0.962775406735248,0.38611283569885,NS
GENE_1124,-0.5776356546115604,0.09428685046238595,0.962775406735248,1.0255488710996583,NS
GENE_1123,0.1639118983006984,0.45210107473099903,0.962775406735248,0.3447644605631673,NS
